busNumber,busNumberId,cityCode,cityName,routeDetail
206,PHB350000229,37010,경상북도 포항시,기본
207(기본),PHB350000231,37010,경상북도 포항시,기본
209,PHB350000228,37010,경상북도 포항시,기본
216,PHB350000232,37010,경상북도 포항시,기본
219,PHB350000300,37010,경상북도 포항시,행복주택경유
302,PHB350000389,37010,경상북도 포항시,기본
305,0PHB350000360,37010,경상북도 포항시,기본
306,PHB350000235,37010,경상북도 포항시,기본
308,PHB350000236,37010,경상북도 포항시,기본
600,PHB350000238,37010,경상북도 포항시,기본-산대
700,PHB350000240,37010,경상북도 포항시,기본
800,PHB350000381,37010,경상북도 포항시,기본-감포
900,PHB350000363,37010,경상북도 포항시,기본
110,PHB350000365,37010,경상북도 포항시,
111,PHB350000364,37010,경상북도 포항시,
120,PHB350000031,37010,경상북도 포항시,
121,PHB350000028,37010,경상북도 포항시,
130,PHB350000366,37010,경상북도 포항시,
131,PHB350000368,37010,경상북도 포항시,
5000,PHB350000313,37010,경상북도 포항시,기본
9000,PHB350000384,37010,경상북도 포항시,기본
580,PHB350000564,37010,경상북도 포항시,